Project,Class,MutationScore
jsoup,TokeniserStateTest,0.045454545454545456
jsoup,TagTest,0.29338842975206614
jsoup,CharacterReaderTest,0.5066489361702128
jsoup,TokeniserTest,0.3819628647214854
jsoup,202006040001,0.0
jsoup,TokenQueueTest,0.5403846153846154
jsoup,HtmlTreeBuilderStateTest,0.0
javapoet,MethodSpecTest,0.0
javapoet,LineWrapperTest,0.0
javapoet,JavaFileTest,0.0
javapoet,NameAllocatorTest,0.0
javapoet,ParameterSpecTest,0.0
javapoet,ClassNameTest,0.0
javapoet,TypeSpecTest,0.0
javapoet,TypeNameTest,0.0
javapoet,FieldSpecTest,0.0
javapoet,UtilTest,0.0
javapoet,AnnotationSpecTest,0.0
javapoet,CodeBlockTest,0.0
